-0.99084,0.83148
-0.96871,0.80661
-0.96076,0.79745
-0.89932,0.72344
-0.88805,0.70939
-0.88731,0.70847
-0.84386,0.65343
-0.83407,0.64091
-0.8046,0.6031
-0.7985,0.59527
-0.78397,0.57663
-0.78133,0.57326
-0.75562,0.54044
-0.71369,0.48761
-0.695,0.46446
-0.68701,0.45465
-0.6579,0.41945
-0.61843,0.3732
-0.59585,0.34763
-0.56401,0.31277
-0.54262,0.29021
-0.52142,0.26854
-0.48284,0.23102
-0.45716,0.20747
-0.30621,0.093627
-0.27994,0.078285
-0.26562,0.070496
-0.22722,0.051606
-0.22014,0.048442
-0.21093,0.044477
-0.14709,0.021633
-0.14418,0.020786
-0.13944,0.019443
-0.12965,0.016808
-0.11873,0.014096
-0.096109,0.0092367
-0.092213,0.0085031
-0.091575,0.0083859
-0.08124,0.0065999
0.00042265,1.7863e-007
0.0076802,5.8985e-005
0.010266,0.00010539
0.015698,0.00024642
0.033958,0.0011531
0.033981,0.0011547
0.033994,0.0011556
0.040259,0.0016208
0.063778,0.0040677
0.065247,0.0042572
0.10777,0.011615
0.11339,0.012857
0.11874,0.014099
0.12411,0.015403
0.14323,0.020514
0.15785,0.024913
0.17122,0.029311
0.18097,0.032743
0.18181,0.033049
0.18672,0.034859
0.19917,0.039659
0.22562,0.050882
0.22695,0.051483
0.23478,0.055094
0.24011,0.057621
0.31183,0.097083
0.32319,0.10426
0.33809,0.11405
0.34233,0.11692
0.36013,0.12933
0.38751,0.1496
0.38961,0.15121
0.39078,0.15212
0.41114,0.16824
0.44033,0.19268
0.46277,0.21253
0.46854,0.21777
0.52577,0.27293
0.53336,0.28066
0.55111,0.29907
0.56847,0.31756
0.63728,0.39505
0.63884,0.39689
0.65326,0.41391
0.66444,0.42728
0.66838,0.43202
0.67254,0.43705
0.67939,0.44536
0.69742,0.46744
0.72742,0.50479
0.72774,0.50519
0.77247,0.56192
0.79573,0.59172
0.8161,0.61787
0.83364,0.64035
0.86222,0.67682
0.87712,0.69566
0.88384,0.70411
0.89043,0.71236
0.93211,0.76357
0.97394,0.81257
